date,doctor_name,rating,comment
2017-08-07,Людмила Полехина,10.0,Прекрасный специалист! Очень внимательный и заботливый!
2017-01-12,Маргарита Всемудрова,8.0,"Врач хороший, всегда поможет и посоветует."
2017-02-02,Алексей Швечков,6.0,Впечатление осталось двоякое. Немного недоволен подходом.
2018-01-04,Маргарита Всемудрова,2.0,Ужасный врач! Непрофессиональный и грубый!
2017-10-06,Алексей Швечков,9.0,Очень доволен приемом. Спасибо врачу за помощь!
2017-05-31,Никита Киреенков,10.0,Профессионал своего дела! Великолепные результаты операции!
2017-01-15,Виктор Московских,7.0,"Операция прошла успешно, но общение с врачом было не очень приятным."
2017-05-19,Людмила Полехина,5.0,Очень долго пришлось ждать приема.
2018-01-03,Виктор Московских,1.0,Никогда больше не пойду к этому хирургу! Сделал все только хуже!
2017-01-13,Виктор Московских,10.0,Безупречная работа хирурга! Спасибо ему за спасение жизни!
2017-12-08,Никита Киреенков,9.0,Отличный врач! Всегда все объяснит и поможет.
2017-06-12,Людмила Полехина,6.0,Не доволен качеством консультации.
2017-10-31,Маргарита Всемудрова,,"Прием прошел хорошо, все вопросы получили ответы."
2017-03-25,Никита Киреенков,2.0,"Плохой врач, никакой помощи не оказал."
2017-11-06,Евгений Коротчин,10.0,Доктор - молодец! Очень помог своими советами.
2017-06-06,Людмила Полехина,10.0,Великолепный специалист! Очень компетентен и доброжелателен!
2017-05-22,Людмила Полехина,9.0,Встретили с открытыми руками и ответили на все вопросы.
2017-05-02,Людмила Полехина,6.0,"Нейтральный прием. Ждать долго не пришлось, но и никаких особых впечатлений нет."
2018-01-01,Маргарита Всемудрова,2.0,Совершенно некомпетентный специалист!
2017-02-15,Маргарита Всемудрова,10.0,Благодарна специалисту за его профессионализм и заботу!
2017-10-19,Маргарита Всемудрова,8.0,Очень вежливый и отзывчивый работник! Сделал все быстро и качественно.
2017-11-19,Никита Киреенков,7.0,"Не очень приятный, но работу выполнил хорошо."
2017-08-24,Людмила Полехина,6.0,Нейтральное впечатление от работы. Никаких проблем не возникло.
2017-11-19,Евгений Коротчин,3.0,Неумелый и некачественный труд врача.
2017-05-27,Алексей Швечков,9.0,Рабочий больницы - профессионал в своем деле! Прекрасно справился с поставленной задачей.
2017-01-18,Алексей Швечков,10.0,"травматолог высшей категории! Отличный специалист! Внимательно выслушал мои проблемы, провел осмотр и назначил лечение. Результат превзошел все ожидания. Очень благодарен доктору за его профессионализм и заботу о пациентах!"
2017-01-21,Виктор Московских,9.0,"хирург со золотыми руками! Доктор провел операцию на ноге. Все прошло отлично, реабилитация быстрая и безболезненная. Большое спасибо за вашу компетентность и профессионализм!"
2017-06-17,Алексей Швечков,8.0,"Доктор внимательно выслушал меня и провел осмотр. Он ясно и понятно объяснил диагноз и назначил лечение. Несмотря на небольшую задержку во время приема, в целом я остался доволен."
2017-02-22,Виктор Московских,10.0,Обратился с проблемой позвоночника. Он провел комплексное обследование и операцию. Сейчас я снова могу нормально двигаться без боли! Спасибо за ваше мастерство и заботу!
2017-03-21,Евгений Коротчин,9.0,"Обратился к доктору Коротчину с вывихнутым плечом. Он провел профессиональную редукцию и назначил реабилитационные процедуры. Очень доволен результатом и вниманием, которое он уделяет своим пациентам. Спасибо!"
2017-09-18,Евгений Коротчин,1.0,"""Этот ""доктор"" был абсолютно бесполезен. Он не смог поставить правильный диагноз и отправил меня домой с обезболивающими. Моя травма ухудшилась, и мне пришлось вернуться в больницу через несколько дней."""
2017-09-30,Маргарита Всемудрова,2.0,"""Персонал был грубым и некомпетентным. Они потеряли мою историю болезни и заставили меня заполнять формы заново. Я ждал приема часами, только чтобы мне сказали, что у них нет времени меня осмотреть."""
2017-03-14,Никита Киреенков,1.0,"""Врач был небрежным и не уделил мне достаточно времени. Он не ответил на мои вопросы и не объяснил, что со мной не так."""
2017-02-21,Никита Киреенков,2.0,"""Персонал был дружелюбным, но сам врач был ужасен. Он использовал слишком много медицинской терминологии и не объяснял вещи простым языком."""
2017-08-20,Маргарита Всемудрова,3.0,"""Врач был достаточно знающим, но его подход был слишком механическим. Он не учел мои индивидуальные потребности и просто следовал протоколу."""
2017-09-07,Никита Киреенков,4.0,"""Персонал был медлительным и неорганизованным."""
2017-03-27,Людмила Полехина,1.0,"""Худший опыт в больнице в моей жизни. Персонал был грубым и некомпетентным, а врач был совершенно не заинтересован в помощи мне. Я никогда больше не вернусь в эту больницу."""
